year,tide_ht,quadrat_m,invert_species,date,count,quadrat_number
2017,H,0,Aste_f,2017-08-12T00:00:00Z,0,NA
2017,H,0,Aste_r,NA,0,NA
2017,H,0,Aste_v,2017-08-12T00:00:00Z,0,NA
2017,H,0,Botr_s,2017-08-12T00:00:00Z,0,NA
2017,H,0,Canc_b,2017-08-12T00:00:00Z,0,NA
2017,H,0,Canc_i,2017-08-12T00:00:00Z,0,NA
2017,H,0,Carc_m,2017-08-12T00:00:00Z,0,NA
2017,H,0,Cion_i,2017-08-12T00:00:00Z,0,NA
2017,H,0,Crep_f,2017-08-12T00:00:00Z,0,NA
2017,H,0,Dide_sp,NA,0,NA
2017,H,0,Dide_v,2017-08-12T00:00:00Z,0,NA
2017,H,0,Gamm_spp,2017-08-12T00:00:00Z,0,NA
2017,H,0,Hemi_s,2017-08-12T00:00:00Z,0,NA
2017,H,0,Hiat_a,2017-08-12T00:00:00Z,0,NA
2017,H,0,Lacu_v,2017-08-12T00:00:00Z,0,NA
2017,H,0,Lepi_s,2017-08-12T00:00:00Z,0,NA
2017,H,0,Litt_l,2017-08-12T00:00:00Z,0,NA
2017,H,0,Litt_o,2017-08-12T00:00:00Z,0,NA
2017,H,0,Litt_s,2017-08-12T00:00:00Z,0,NA
2017,H,0,Litt_spp,2017-08-12T00:00:00Z,0,NA
2017,H,0,Metr_s,2017-08-12T00:00:00Z,0,NA
2017,H,0,Modi_m,2017-08-12T00:00:00Z,0,NA
2017,H,0,Myti_e,2017-08-12T00:00:00Z,0,NA
2017,H,0,Nuce_l,2017-08-12T00:00:00Z,0,NA
2017,H,0,Ostr_e,2017-08-12T00:00:00Z,0,NA
2017,H,0,Stro_d,2017-08-12T00:00:00Z,0,NA
2017,H,0,Tect_t,2017-08-12T00:00:00Z,0,NA
2017,H,0,Urti_f,2017-08-12T00:00:00Z,0,NA
2017,H,3,Aste_f,NA,0,NA
2017,H,3,Aste_r,NA,0,NA
2017,H,3,Aste_v,NA,0,NA
2017,H,3,Botr_s,NA,0,NA
2017,H,3,Canc_b,NA,0,NA
2017,H,3,Canc_i,NA,0,NA
2017,H,3,Carc_m,NA,0,NA
2017,H,3,Cion_i,NA,0,NA
2017,H,3,Crep_f,NA,0,NA
2017,H,3,Dide_sp,NA,0,NA
2017,H,3,Dide_v,NA,0,NA
2017,H,3,Gamm_spp,NA,0,NA
2017,H,3,Hemi_s,NA,0,NA
